id;name;phone;address;active;created_by;created_date;last_modified_by;last_modified_date
1;tattered times easy;897.819.1856 x263;minus venture cap;false;provision;2025-07-26T23:46:02;unless unimpressively;2025-07-26T19:31:54
2;disposer;949.837.1445 x441;unripe for;false;heavy quiet;2025-07-27T06:32:56;holster;2025-07-26T23:12:39
3;unlike;476.445.3034;markup often yippee;true;lawmaker consequently yum;2025-07-27T08:21:09;worth fumigate;2025-07-27T06:29:17
4;shrill;834.932.9982 x22563;beneath lava draw;false;than utterly rear;2025-07-26T19:07:09;actually mockingly;2025-07-27T08:20:32
5;yet pepper circa;1-211-384-7840 x4873;as even;true;optimistically bench;2025-07-27T07:44:27;innovate give;2025-07-27T08:18:04
6;meanwhile validity;1-569-974-3828 x4035;unknown overconfidently;false;fence;2025-07-27T12:54:52;upward rout hmph;2025-07-27T01:02:09
7;phooey publication;1-403-485-1484;why;true;although;2025-07-26T21:45:47;yahoo;2025-07-27T14:51:16
8;bell gadzooks;(982) 548-0791;by account;true;decriminalize substantial queasily;2025-07-27T14:21:54;shoulder proud;2025-07-27T15:52:43
9;frenetically growing;(833) 967-3883 x41202;impostor;true;vista than;2025-07-27T09:22:15;aside guacamole;2025-07-26T17:51:41
10;even voluminous often;544-960-7967 x8540;consequently;false;annual than;2025-07-27T12:59:16;sedately moor given;2025-07-26T21:54:35
