id;name;phone;address;active;created_by;created_date;last_modified_by;last_modified_date
1;gratefully;(621) 485-9421 x6608;often;false;indeed aboard;2025-07-27T04:46:37;extent jaywalk;2025-07-27T09:06:01
2;modulo against fit;(495) 572-1793 x7826;butter fast;false;premeditation;2025-07-26T22:49:42;nicely woot clean;2025-07-27T00:29:47
3;hm personal what;1-414-273-3803;swing safely toward;true;bathhouse;2025-07-27T06:18:19;shakily commonly;2025-07-27T10:08:54
4;bar;(536) 718-8455 x89005;humiliating;true;amongst;2025-07-27T02:21:16;yum replicate;2025-07-27T00:59:18
5;aha decision;371.324.8615 x3318;lest;true;against aha;2025-07-26T20:27:04;too cleaner parched;2025-07-27T14:48:28
6;apud lest;894-831-3532;beside wilderness;true;phooey tuber;2025-07-27T07:22:05;gleaming degenerate ugh;2025-07-27T11:54:53
7;masquerade nab;1-365-926-7490 x4406;reconstitute ha;false;married;2025-07-26T17:07:26;zowie;2025-07-26T20:33:33
8;gadzooks;494.338.8449 x999;acidic for frantically;true;outrageous barring how;2025-07-26T17:24:54;aside enormously;2025-07-27T11:07:44
9;headline;(412) 373-2904;rowdy collaboration odd;false;worth;2025-07-27T05:09:59;eek;2025-07-27T15:10:29
10;hospitable;1-680-512-8804;loftily;true;shrill substantial;2025-07-27T07:39:02;hygienic stiff uh-huh;2025-07-27T03:08:19
